"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"TF-01A";1;"Micro_SD_Card_TF-01";;;
2;"C1,C17,C3,C20,C15,C2,C11,C13,C12,C10";"C_0402_1005Metric";10;"0.1uF";;;
3;"J11,J8,J6,J5";"BK-53";4;"Conn_01x01_Female";;;
4;"U9,U5";"Texas_R-PDSO-G6";2;"TPS22919";;;
5;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal_GND24";;;
6;"U3";"XCVR_RFM95W-915S2";1;"RFM95W-915";;;
7;"U8";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TMP117AIDRVR";;;
8;"R12,R9,R11,R8,R7,R5";"R_0402_1005Metric";6;"10K";;;
9;"U7";"Texas_R-PDSO-G6";1;"SN74LVC1G175DCK";;;
10;"R14";"R_0402_1005Metric";1;"470";;;
11;"R10";"R_0402_1005Metric";1;"1K";;;
12;"U6";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"TCA9803";;;
13;"J7";"JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical";1;"S2B-PH-SM4-TB(LF)(SN)";;;
14;"J12";"1x10pin ICSP 2.54mm";1;"Conn_01x10_Male";;;
15;"D2";"LED_0603_1608Metric";1;"LED_BLUE";;;
16;"U1";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"PCF2129AT";;;
17;"J10";"JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal";1;"PROBE";;;
18;"R19,R13";"R_0402_1005Metric";2;"100";;;
19;"R6";"R_0402_1005Metric";1;"470k";;;
20;"J3,J2";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";2;"Conn_01x06";;;
21;"D3";"LED_0603_1608Metric";1;"LED_RED";;;
22;"C7";"C_0603_1608Metric";1;"10uF";;;
23;"U2";"QFN-48-1EP_6x6mm_P0.4mm_EP4.66x4.66mm";1;"nRF52832-QFxx";;;
24;"J20";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"U.FL-R-SMT-1";;;
25;"C21,C9";"C_0402_1005Metric";2;"0.8pF C0G";;;
26;"L2";"L_0402_1005Metric";1;"3.9nH";;;
27;"C14";"C_0402_1005Metric";1;"1uF";;;
28;"C6,C5";"C_0402_1005Metric";2;"12pF";;;
29;"C4";"C_0402_1005Metric";1;"100pF";;;
30;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MX25R3235FM1IH0";;;
