"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal_GND24";;;
2;"U3";"XCVR_RFM95W-915S2";1;"RFM95W-915";;;
3;"U8";"WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm";1;"TMP117AIDRVR";;;
4;"R12,R9,R11,R8,R7,R5";"R_0402_1005Metric";6;"10K";;;
5;"U7";"Texas_R-PDSO-G6";1;"SN74LVC1G175DCK";;;
6;"R14";"R_0402_1005Metric";1;"470";;;
7;"R10";"R_0402_1005Metric";1;"1K";;;
8;"C17,C3,C20,C15,C2,C11,C13,C12,C10";"C_0402_1005Metric";9;"0.1uF";;;
9;"U6";"VSSOP-8_3.0x3.0mm_P0.65mm";1;"TCA9803";;;
10;"U5";"Texas_R-PDSO-G6";1;"TPS22919";;;
11;"J8,J6,J11,J5";"BK-53";4;"Conn_01x01_Female";;;
12;"J7";"JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical";1;"S2B-PH-SM4-TB(LF)(SN)";;;
13;"J12";"1x10pin ICSP 2.54mm";1;"Conn_01x10_Male";;;
14;"D2";"LED_0603_1608Metric";1;"LED_BLUE";;;
15;"U1";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"PCF2129AT";;;
16;"R4,R1";"R_0402_1005Metric";2;"0";;;
17;"J10";"JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal";1;"PROBE";;;
18;"J4,J1";"PinHeader_2x08_P1.27mm_Vertical_SMD";2;"PinHeader_2x08_P1.27mm_Vertical_SMD";;;
19;"R19,R13";"R_0402_1005Metric";2;"100";;;
20;"R6";"R_0402_1005Metric";1;"470k";;;
21;"J3,J2";"JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical";2;"Conn_01x06";;;
22;"D3";"LED_0603_1608Metric";1;"LED_RED";;;
23;"C7";"C_0603_1608Metric";1;"10uF";;;
24;"U2";"QFN-48-1EP_6x6mm_P0.4mm_EP4.66x4.66mm";1;"nRF52832-QFxx";;;
25;"J20";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";1;"U.FL-R-SMT-1";;;
26;"C21,C9";"C_0402_1005Metric";2;"0.8pF C0G";;;
27;"L2";"L_0402_1005Metric";1;"3.9nH";;;
28;"C14";"C_0402_1005Metric";1;"1uF";;;
29;"C6,C5";"C_0402_1005Metric";2;"12pF";;;
30;"C4";"C_0402_1005Metric";1;"100pF";;;
31;"U4";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MX25R3235FM1IH0";;;
